X,Y,OBJECTID,SITE_NAME,ADDRESS,CO,SO2,OZONE,NO2,NOY_NO,PM10,PM2_5,SPECIATED_PM2_5,PM_COARSE,CARBONYLS,PAMS_VOC,TOXICS_TO15,MET,TSP_METALS,TSP_LEAD_14129,COMMUNITY_AIR_TOXICS,TSP_11101,GlobalID
-75.097623658219362,40.008605767048131,1,LAB,1501 East Lycoming Avenue,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,y,N,Y,N,N,N,e3470845-083d-4496-bb66-4c3a044ed888
-75.236965932173234,40.050460982341811,2,ROX,Eva and Dearnley Streets,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,5dbae625-55a3-4e36-bd8c-c851718f94f8
-75.0131276875195,40.072072677698671,3,NEA,Grant Avenue and Ashton Street,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,e7b5685b-c0a8-4f3d-9da1-eea96f2ad0de
-75.165442207119312,39.94450986737175,4,CHS,500 South Broad Street,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,29beb6ea-8f6a-4654-8058-d1ec112c82c8
-75.080377568614225,39.991688413023489,5,NEW,2861 Lewis Street,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,42211b01-e8e6-45eb-9c69-659c7373813b
-75.187155767902581,39.922794880996996,6,RIT,24th and Ritner Streets,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N,N,N,c9ca5b5e-2238-4601-b08d-4e61ee2e678b
-75.143412338209046,39.960776918724491,7,FAB,3rd and Spring Garden Streets,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,68997092-7701-4786-a1f1-0ceeb5eca315
-75.220794033960459,39.885014051388751,8,SWA,8200 Enterprise Avenue,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,8eae2f7b-3901-4ac6-aba7-b93fad39cac9
-74.983680078104214,40.053969131027308,9,TOR,4900 Grant Avenue,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,d53d40fd-deeb-42b5-864c-eeac416550cd
-75.185447973495258,39.912789925618561,10,PHA,3100 Penrose Ferry Road,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,9702d9d2-1c10-44ee-bdb3-7385548d3e7c
